Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,WEST
2012,4,15,1,0,24.96666666666667,15.126666666666669,920.2848618371108
2012,4,15,2,0,21.366666666666664,22.58333333333333,848.3751350051201
2012,4,15,3,0,19.23333333333333,28.64,807.1789165730085
2012,4,15,4,0,17.433333333333334,33.013333333333335,762.3600426432826
2012,4,15,5,0,15.7,35.87333333333333,761.5031227449282
2012,4,15,6,0,14.166666666666666,37.4,765.1462729129405
2012,4,15,7,0,12.699999999999998,37.7,780.4667755793681
2012,4,15,8,0,11.266666666666666,37.59333333333333,792.8412476251419
2012,4,15,9,0,9.9,37.34333333333333,819.8522916511408
2012,4,15,10,0,8.733333333333334,37.71333333333333,849.858113658728
2012,4,15,11,0,7.8,38.95666666666667,866.3246343505219
2012,4,15,12,0,7.2,40.04,882.375700830428
2012,4,15,13,0,7.899999999999999,38.22,904.7113909198044
2012,4,15,14,0,10.233333333333333,31.986666666666668,920.7220009651688
2012,4,15,15,0,12.933333333333332,24.8,932.331615234212
2012,4,15,16,0,15.2,19.23333333333333,957.2965010463912
2012,4,15,17,0,17.099999999999998,15.893333333333333,982.4644792710052
2012,4,15,18,0,18.8,14.160000000000002,1001.9251286379236
2012,4,15,19,0,20.23333333333333,13.1,1000.0631872311592
2012,4,15,20,0,21.2,12.253333333333332,977.2133055960502
2012,4,15,21,0,21.73333333333333,11.493333333333332,991.3618705064512
2012,4,15,22,0,21.8,11.15,974.3561939816956
2012,4,15,23,0,21.3,11.436666666666667,910.5851019662864
2012,4,16,0,0,19.866666666666667,12.613333333333332,829.1415500000002
2012,4,16,1,0,16.400000000000002,19.16,769.2764877290069
2012,4,16,2,0,13.5,30.95,749.2779855103411
2012,4,16,3,0,12.666666666666666,32.91,736.9038737154711
2012,4,16,4,0,11.966666666666669,33.68666666666667,719.7328156800486
2012,4,16,5,0,11.133333333333333,34.92,722.0885514712861
2012,4,16,6,0,10.2,36.97666666666667,756.5945046468272
2012,4,16,7,0,9.4,39.14,841.5377039397744
2012,4,16,8,0,8.733333333333334,41.64666666666667,874.4664192164082
2012,4,16,9,0,8.133333333333333,44.973333333333336,880.7350369710174
2012,4,16,10,0,7.633333333333333,48.01333333333334,894.4716001316345
2012,4,16,11,0,7.166666666666667,50.45000000000001,848.285618807403
2012,4,16,12,0,6.900000000000001,51.88,816.1059087354475
2012,4,16,13,0,8.200000000000001,48.38,848.2373276701961
2012,4,16,14,0,11.5,40.196666666666665,892.5605196455538
2012,4,16,15,0,15.066666666666668,31.383333333333336,926.1676269014264
2012,4,16,16,0,17.900000000000002,25.126666666666665,951.1694237845924
